date,emissions_24h_t,emissions_365d_t,intesity_kgCO2e/kWh
2022-12-13,2.535356361837793,911.8356884301294,0.335172112777666
2022-12-14,2.47856513175375,910.9782588825828,0.33504202390452
2022-12-15,2.579318193301006,916.9266871778508,0.334911935031374
2022-12-16,2.521886730623742,916.518683682627,0.334781846158227
2022-12-17,2.523815425726834,915.9927675609852,0.334651757285081
2022-12-18,2.5195513184517955,918.7258876782072,0.334521668411935
2022-12-19,2.515790757016815,920.513237938509,0.334391579538788
2022-12-20,2.6029939102134256,924.0411176600802,0.334261490665642
2022-12-21,2.503589911870381,925.337624490826,0.334131401792496
2022-12-22,2.4877124658562177,920.566459435496,0.334001312919349
2022-12-23,2.593179050184691,924.2829784943764,0.333871224046203
2022-12-24,2.482129644254224,922.107321466728,0.333741135173057
2022-12-25,2.4784374429022216,919.9617269224674,0.33361104629991
2022-12-26,2.678911780957061,928.4658252089016,0.333480957426764
2022-12-27,2.241214628486478,909.6091908992928,0.333350868553618
2022-12-28,2.2353181389887125,895.6215405983129,0.333220779680471
2022-12-29,2.444072753102604,893.350051289093,0.333090690807325
2022-12-30,2.380335330459696,882.2716692198293,0.332960601934179
2022-12-31,2.424075516464731,879.252995168997,0.332830513061032
2023-01-01,2.423076425279964,876.3754049115967,0.332700424187886
2023-01-02,2.4335903556132106,863.622409037232,0.33257033531474
2023-01-03,2.52323446963043,878.3091512828828,0.332440246441593
2023-01-04,2.5292231543847983,893.6090255430418,0.332310157568447
2023-01-05,2.4340810333735288,893.0866143922165,0.332180068695301
2023-01-06,2.4472511984793552,896.5654989278087,0.332049979822154
2023-01-07,2.433753054399244,897.0646861926311,0.331919890949008
2023-01-08,2.5370482148318514,903.0017330409764,0.331789802075862
2023-01-09,2.53640454441416,908.3561614344536,0.331659713202715
2023-01-10,2.515952309884955,907.9805524149716,0.331529624329569
2023-01-11,2.491662424869771,906.0271366194016,0.331399535456423
2023-01-12,2.3847911467298912,903.4492977402596,0.331269446583276
2023-01-13,2.5089543824578264,906.6618469501632,0.33113935771013
2023-01-14,2.487422936959328,909.4523216308232,0.331009268836984
2023-01-15,2.4801750857552,906.4924502663672,0.330879179963837
