date	avg_tx_fee
21.01.2016	0.002172577025096919
22.01.2016	0.0023521629972962535
23.01.2016	0.0018168913713405238
24.01.2016	0.0029056105892399657
25.01.2016	0.0038762899931926486
26.01.2016	0.00479741444345381
27.01.2016	0.0050628603022484335
28.01.2016	0.0033669097920858483
29.01.2016	0.00405129909365559
30.01.2016	0.004325553829804627
31.01.2016	0.004297182869239538
01.02.2016	0.003748998905052401
02.02.2016	0.0038776831745039836
03.02.2016	0.003689603921873784
04.02.2016	0.004597157099462575
05.02.2016	0.004458910710374535
06.02.2016	0.008364641194413228
07.02.2016	0.007397849211895334
08.02.2016	0.005984546827794562
09.02.2016	0.008692685851318945
10.02.2016	0.013630553799468958
11.02.2016	0.007298497121605787
12.02.2016	0.009198480058365759
13.02.2016	0.00833422884427314
