date,emissions_24h,emissions_365d,intensity
2017-01-16,0.0004076317457918,0.1448175752282534,0.484
2017-01-17,0.0004034683689229,0.1458435093039504,0.484
2017-01-18,0.0004000688021512,0.1464905523051924,0.484
2017-01-19,0.0004275821633592,0.1483654609167452,0.484
2017-01-20,0.0004130878882708,0.1491100999294749,0.484
2017-01-21,0.0004238286380189,0.1503611300553668,0.484
2017-01-22,0.0004260030561226,0.1513013988375453,0.484
2017-01-23,0.0004338127296348,0.152666550137924,0.484
2017-01-24,0.0004280796844226,0.1539498544461235,0.484
2017-01-25,0.0004292971861536,0.1554739058976799,0.484
2017-01-26,0.0004408615713646,0.1561663321722474,0.484
2017-01-27,0.000434445723422,0.1572799907194178,0.484
2017-01-28,0.0004363000978297,0.1579302882666974,0.484
2017-01-29,0.0004273809205961,0.1580021340571028,0.484
2017-01-30,0.0004399081230505,0.1583199652852125,0.484
2017-01-31,0.0004394086221435,0.1589106884663762,0.484
2017-02-01,0.0004334381668771,0.15912661103267,0.484
2017-02-02,0.0004430716141046,0.1592418489755384,0.484
2017-02-03,0.0004358520310698,0.1593151778743173,0.484
2017-02-04,0.0004440664105726,0.1597201356101944,0.484
2017-02-05,0.0004623336159839,0.1615426690125581,0.484
2017-02-06,0.0004677938538745,0.1629967106912347,0.484
2017-02-07,0.0004671443094428,0.1644429286718393,0.484
2017-02-08,0.000473271553137,0.1665199552411088,0.484
2017-02-09,0.0004715156214812,0.1680031070543203,0.484
2017-02-10,0.0004857441149679,0.1706046228575783,0.484
2017-02-11,0.0004887136805188,0.1729326590762052,0.484
2017-02-12,0.000494902668927,0.1746309025511006,0.484
2017-02-13,0.0005017783852292,0.1764029531145972,0.484
2017-02-14,0.0005074609313633,0.1785051769718791,0.484
2017-02-15,0.0005097280665897,0.1804061237447678,0.484
2017-02-16,0.0005077008716089,0.1822929260728548,0.484
2017-02-17,0.0005170921143503,0.1839275003263635,0.484
2017-02-18,0.0005222478172931,0.1856760660295962,0.484
2017-02-19,0.0005309429630247,0.1875553099361184,0.484
2017-02-20,0.0005331766696539,0.1891925061954042,0.484
2017-02-21,0.0005450357181772,0.1911517629364172,0.484
2017-02-22,0.0005388145235565,0.192668413906828,0.484
2017-02-23,0.000540105271152,0.1943580718830015,0.484
2017-02-24,0.0005427708164247,0.1956970327768842,0.484
2017-02-25,0.0005593101203678,0.1976295671514936,0.484
2017-02-26,0.0005815710772053,0.2002694616766266,0.484
2017-02-27,0.000583780360805,0.2029080827152214,0.484
2017-02-28,0.0006101551243725,0.2063035946096862,0.484
2017-03-01,0.0005898154558297,0.2089629289353621,0.484
2017-03-02,0.000599124273396,0.2120403483380867,0.484
2017-03-03,0.0006214116694288,0.2161409071018696,0.484
2017-03-04,0.0006134291816973,0.2189628295854789,0.484
2017-03-05,0.0006411901042955,0.2220715359980372,0.484
2017-03-06,0.0006430204998211,0.2251604861038771,0.484
2017-03-07,0.0006389934526163,0.2266641989337362,0.484
2017-03-08,0.0006621153085026,0.2304341198231088,0.484
2017-03-09,0.0006636503227971,0.2337986923990238,0.484
2017-03-10,0.0006651349482846,0.2360785490822215,0.484
2017-03-11,0.0006781257225979,0.2394520115720377,0.484
2017-03-12,0.0006804212474611,0.2414976354656684,0.484
2017-03-13,0.0007078412047623,0.2448775722233178,0.484
2017-03-14,0.0006984731629159,0.2479790142603643,0.484
2017-03-15,0.0007181499595446,0.2509008210646982,0.484
2017-03-16,0.0007269324433646,0.2542005316371465,0.484
2017-03-17,0.0007649792218948,0.2594066973325311,0.484
2017-03-18,0.0007744205670052,0.2644277856480505,0.484
2017-03-19,0.0007332809590727,0.2671840420392299,0.484
2017-03-20,0.0007832462606138,0.271115877094345,0.484
2017-03-21,0.0007672382915308,0.2747014873721239,0.484
2017-03-22,0.0007859308286609,0.2782357755474718,0.484
2017-03-23,0.0008127815848422,0.2827121950673772,0.484
2017-03-24,0.0008080935032053,0.2849602968785711,0.484
2017-03-25,0.0008135741444948,0.2870018762762489,0.484
2017-03-26,0.000854678116842,0.2933318709313638,0.484
2017-03-27,0.0008901617966335,0.2989067524523862,0.484
2017-03-28,0.0008672457718083,0.3041214282097109,0.484
2017-03-29,0.0009033273720166,0.3102428193989727,0.484
2017-03-30,0.0009054316197474,0.3150738569333158,0.484
2017-03-31,0.0009297754540392,0.3214187015125122,0.484
2017-04-01,0.0009138362488463,0.3266466540965516,0.484
2017-04-02,0.0009126928833672,0.3296717097796519,0.484
2017-04-03,0.0008728032892621,0.3287665876095735,0.484
2017-04-04,0.0009270721491694,0.3318861058576888,0.484
2017-04-05,0.0009534340219431,0.3344988097467148,0.484
2017-04-06,0.0009468572436215,0.3366588601344331,0.484
2017-04-07,0.0009617311284781,0.3383251203016023,0.484
2017-04-08,0.0009665095666098,0.3410716575849855,0.484
2017-04-09,0.0009489895434478,0.3429642691463301,0.484
