date,emissions_24h_mt,emissions_365d_mt,intesity_kgCO2e/kWh
2016-11-21,0.0073784749289638,2.749351882451394,0.494
2016-11-22,0.0073267425617958,2.7401868425900937,0.494
2016-11-23,0.0072708886015144,2.719696291590848,0.494
2016-11-24,0.0074073154580935,2.7094744181964523,0.494
2016-11-25,0.0074700900830997,2.7039670304503485,0.494
2016-11-26,0.007551937698917,2.7065279685217667,0.494
2016-11-27,0.0076709805680483,2.7154138448082863,0.494
2016-11-28,0.0078569887026062,2.7403649201482114,0.494
2016-11-29,0.0079685903965422,2.7738327001028504,0.494
2016-11-30,0.0079313898318969,2.808273121401364,0.494
2016-12-01,0.0078123469627656,2.8293926212878366,0.494
2016-12-02,0.0077625532315334,2.844642485456169,0.494
2016-12-03,0.0079264662277527,2.8641714730311727,0.494
2016-12-04,0.0079756279105564,2.8800566558905225,0.494
2016-12-05,0.0079062672346992,2.8826261793496584,0.494
2016-12-06,0.0079333709584835,2.8807897372223112,0.494
2016-12-07,0.0081942741761459,2.894497278029584,0.494
2016-12-08,0.0082966978895412,2.919752719211456,0.494
2016-12-09,0.0082376996211117,2.944528209525181,0.494
2016-12-10,0.0079348421972623,2.944964956506756,0.494
2016-12-11,0.0082301256626331,2.958235196436472,0.494
2016-12-12,0.0082604108738849,2.976701257622582,0.494
2016-12-13,0.0084724126639788,3.004808432266267,0.494
2016-12-14,0.0082074090985286,3.0054933246476465,0.494
2016-12-15,0.0080556006264137,2.9929218244988527,0.494
2016-12-16,0.0081225871371657,2.9869195306930942,0.494
2016-12-17,0.0083023650800719,3.006083223868163,0.494
2016-12-18,0.0080411484938609,2.9962294143536115,0.494
2016-12-19,0.008096535056985,2.987684461043831,0.494
2016-12-20,0.0078788926330171,2.956736630857965,0.494
2016-12-21,0.0081285092716002,2.952622568453843,0.494
2016-12-22,0.0083936456203338,2.9702492002796763,0.494
2016-12-23,0.0085492357603567,2.992495878488921,0.494
2016-12-24,0.0084919105612965,3.002379321438493,0.494
2016-12-25,0.0086884457545534,3.036131250031748,0.494
2016-12-26,0.0086147457209985,3.0631522346553086,0.494
2016-12-27,0.0087621457881083,3.1092075777422084,0.494
2016-12-28,0.0088124387844856,3.144869616628377,0.494
